epoch,accuracy,loss,val_accuracy,val_loss
0,0.14499659836292267,3.440093755722046,0.029693923890590668,4.406263828277588
1,0.26616746187210083,2.6465492248535156,0.274554580450058,2.6467983722686768
2,0.3671431839466095,2.202284336090088,0.4390132427215576,1.944568395614624
3,0.44349896907806396,1.907886028289795,0.6153494715690613,1.4140249490737915
4,0.5391422510147095,1.5879061222076416,0.5093650221824646,1.7238492965698242
5,0.6013160943984985,1.3406771421432495,0.6742804646492004,1.0873069763183594
6,0.6666666865348816,1.132169246673584,0.7359524965286255,0.8884701728820801
7,0.7151123285293579,0.9492635130882263,0.7916857004165649,0.7120391726493835
8,0.7556160688400269,0.8129906058311462,0.8044769167900085,0.6826394200325012
9,0.7930564880371094,0.6848854422569275,0.8095020651817322,0.6623463034629822
10,0.8156341910362244,0.6087532639503479,0.8620374798774719,0.47740206122398376
11,0.8369638919830322,0.5167455077171326,0.884878933429718,0.38067570328712463
12,0.8702064752578735,0.45119962096214294,0.9090909361839294,0.31193846464157104
13,0.8754254579544067,0.4070352017879486,0.8350844979286194,0.6045594811439514
14,0.8921034932136536,0.34770938754081726,0.8844221234321594,0.398808091878891
15,0.8982300758361816,0.3348802328109741,0.9054362773895264,0.3279270529747009
16,0.912071704864502,0.2870205342769623,0.8419369459152222,0.5798977017402649
17,0.9172906875610352,0.27817609906196594,0.6167199611663818,2.627689838409424
18,0.9246653318405151,0.24304914474487305,0.8784833550453186,0.3970924913883209
19,0.9221692681312561,0.23843789100646973,0.94289630651474,0.2017107456922531
20,0.9345359802246094,0.2116294801235199,0.9616262912750244,0.13586154580116272
21,0.9372588992118835,0.19863909482955933,0.9063499569892883,0.2896454632282257
22,0.931472659111023,0.2185666263103485,0.9387848377227783,0.18326647579669952
23,0.9391876459121704,0.19616062939167023,0.8579260110855103,0.5533336997032166
24,0.9458815455436707,0.17096705734729767,0.9744175672531128,0.08993585407733917
25,0.9493986964225769,0.16081246733665466,0.9488350749015808,0.16849005222320557
26,0.9481506943702698,0.1644175946712494,0.9547738432884216,0.14012065529823303
27,0.9504197835922241,0.15783445537090302,0.9145728349685669,0.2962706685066223
28,0.9482641220092773,0.16051451861858368,0.9607126712799072,0.12558136880397797
29,0.9564329385757446,0.1356053352355957,0.9588853120803833,0.13305601477622986
