epoch,accuracy,loss,val_accuracy,val_loss
0,0.06762386858463287,4.526920795440674,0.027764705941081047,4.854223728179932
1,0.12944501638412476,3.7990055084228516,0.16329412162303925,4.433820724487305
2,0.18576104938983917,3.4212629795074463,0.335999995470047,2.727954149246216
3,0.2800922393798828,3.0032012462615967,0.35199999809265137,2.7697417736053467
4,0.380374938249588,2.6353063583374023,0.5120000243186951,2.3071351051330566
5,0.47463175654411316,2.3553497791290283,0.11764705926179886,5.121354103088379
6,0.5025293827056885,2.277921676635742,0.027294117957353592,28.266294479370117
7,0.49203988909721375,2.3143575191497803,0.6145882606506348,1.9486432075500488
8,0.6026632785797119,1.98745858669281,0.7082353234291077,1.7289528846740723
9,0.6569706797599792,1.8475285768508911,0.7835294008255005,1.5255333185195923
10,0.7155185341835022,1.6933807134628296,0.8291764855384827,1.3921170234680176
11,0.7465406656265259,1.6103893518447876,0.8560000061988831,1.357288122177124
12,0.7779348492622375,1.532995581626892,0.8894117474555969,1.2463858127593994
13,0.7826216220855713,1.5100769996643066,0.8555294275283813,1.3320692777633667
14,0.7581461071968079,1.578795313835144,0.8752940893173218,1.26978600025177
15,0.8158755898475647,1.4342206716537476,0.9101176261901855,1.2114698886871338
16,0.8483112454414368,1.345158576965332,0.9204705953598022,1.1487911939620972
17,0.8227941989898682,1.4027817249298096,0.9411764740943909,1.1491981744766235
18,0.8604374527931213,1.3058832883834839,0.9303529262542725,1.1566612720489502
19,0.8675792217254639,1.2851040363311768,0.8404706120491028,1.3369112014770508
20,0.8788126707077026,1.2535752058029175,0.948235273361206,1.0664293766021729
21,0.8883350491523743,1.2298460006713867,0.33223530650138855,3.5126452445983887
22,0.8625948429107666,1.3119450807571411,0.8894117474555969,1.2271407842636108
23,0.8991965651512146,1.204445719718933,0.8470588326454163,1.3171501159667969
24,0.9201011657714844,1.1509112119674683,0.9670588374137878,1.0234086513519287
25,0.9247136116027832,1.1372368335723877,0.9703529477119446,1.02334463596344
26,0.9285076856613159,1.1215167045593262,0.9614117741584778,1.0460832118988037
27,0.9253831505775452,1.1287412643432617,0.9562352895736694,1.0675365924835205
28,0.9430144429206848,1.0832934379577637,0.46447059512138367,2.709831714630127
29,0.9321529269218445,1.113439679145813,0.9529411792755127,1.0418542623519897
